Name;bui;WeatherFile;IntGain;Tset;WindowRatio;IntWall_L;IntWall_H;ExtWall;Floor;Ceiling;Laibung;WindowID;ActiveLayer;THB
TRNPY_TEMPLATE_51;MW;MUC_2050.epw;3.9;19.0;0.231;MW_IW_L;MW_IW_H;MW_AW;BO;DA;0.445;3307;0;0.023
TRNPY_TEMPLATE_52;MW;MUC_2050.epw;3.7;12.0;0.181;MW_IW_L;MW_IW_H;MW_AW;BO;DA;0.445;3307;0;0.023
TRNPY_TEMPLATE_53;MW;MUC_2050.epw;3.1;19.5;0.128;MW_IW_L;MW_IW_H;MW_AW;BO;DA;0.445;3307;0;0.023
TRNPY_TEMPLATE_54;MW;MUC_2050.epw;8.2;19.0;0.223;MW_IW_L;MW_IW_H;MW_AW;BO;DA;0.445;3307;0;0.023
TRNPY_TEMPLATE_55;MW;MUC_2050.epw;8.6;21.0;0.212;MW_IW_L;MW_IW_H;MW_AW;BO;DA;0.445;3307;0;0.023
TRNPY_TEMPLATE_56;MW;MUC_2050.epw;4.0;23.5;0.168;MW_IW_L;MW_IW_H;MW_AW;BO;DA;0.445;3307;0;0.023
TRNPY_TEMPLATE_57;MW;MUC_2050.epw;0.5;23.5;0.209;MW_IW_L;MW_IW_H;MW_AW;BO;DA;0.445;3307;0;0.023
TRNPY_TEMPLATE_58;MW;MUC_2050.epw;2.2;22.0;0.215;MW_IW_L;MW_IW_H;MW_AW;BO;DA;0.445;3307;0;0.023
TRNPY_TEMPLATE_59;MW;MUC_2050.epw;1.6;20.5;0.166;MW_IW_L;MW_IW_H;MW_AW;BO;DA;0.445;3307;0;0.023
TRNPY_TEMPLATE_60;GEG;MUC_2020.epw;9.0;19.5;0.165;GEG_IW_L;GEG_IW_H;GEG_AW;GEG_BO;GEG_DA;0.36;3307;0;0.05
TRNPY_TEMPLATE_61;GEG;MUC_2020.epw;3.9;19.0;0.231;GEG_IW_L;GEG_IW_H;GEG_AW;GEG_BO;GEG_DA;0.36;3307;0;0.05
TRNPY_TEMPLATE_62;GEG;MUC_2020.epw;3.7;12.0;0.181;GEG_IW_L;GEG_IW_H;GEG_AW;GEG_BO;GEG_DA;0.36;3307;0;0.05
TRNPY_TEMPLATE_63;GEG;MUC_2020.epw;3.1;19.5;0.128;GEG_IW_L;GEG_IW_H;GEG_AW;GEG_BO;GEG_DA;0.36;3307;0;0.05
TRNPY_TEMPLATE_64;GEG;MUC_2020.epw;8.2;19.0;0.223;GEG_IW_L;GEG_IW_H;GEG_AW;GEG_BO;GEG_DA;0.36;3307;0;0.05
TRNPY_TEMPLATE_65;GEG;MUC_2020.epw;8.6;21.0;0.212;GEG_IW_L;GEG_IW_H;GEG_AW;GEG_BO;GEG_DA;0.36;3307;0;0.05
TRNPY_TEMPLATE_66;GEG;MUC_2020.epw;4.0;23.5;0.168;GEG_IW_L;GEG_IW_H;GEG_AW;GEG_BO;GEG_DA;0.36;3307;0;0.05
TRNPY_TEMPLATE_67;GEG;MUC_2020.epw;0.5;23.5;0.209;GEG_IW_L;GEG_IW_H;GEG_AW;GEG_BO;GEG_DA;0.36;3307;0;0.05
TRNPY_TEMPLATE_68;GEG;MUC_2020.epw;2.2;22.0;0.215;GEG_IW_L;GEG_IW_H;GEG_AW;GEG_BO;GEG_DA;0.36;3307;0;0.05
TRNPY_TEMPLATE_69;GEG;MUC_2020.epw;1.6;20.5;0.166;GEG_IW_L;GEG_IW_H;GEG_AW;GEG_BO;GEG_DA;0.36;3307;0;0.05
TRNPY_TEMPLATE_70;GEG;MUC_2050.epw;9.0;19.5;0.165;GEG_IW_L;GEG_IW_H;GEG_AW;GEG_BO;GEG_DA;0.36;3307;0;0.05
TRNPY_TEMPLATE_71;GEG;MUC_2050.epw;3.9;19.0;0.231;GEG_IW_L;GEG_IW_H;GEG_AW;GEG_BO;GEG_DA;0.36;3307;0;0.05
TRNPY_TEMPLATE_72;GEG;MUC_2050.epw;3.7;12.0;0.181;GEG_IW_L;GEG_IW_H;GEG_AW;GEG_BO;GEG_DA;0.36;3307;0;0.05
TRNPY_TEMPLATE_73;GEG;MUC_2050.epw;3.1;19.5;0.128;GEG_IW_L;GEG_IW_H;GEG_AW;GEG_BO;GEG_DA;0.36;3307;0;0.05
TRNPY_TEMPLATE_74;GEG;MUC_2050.epw;8.2;19.0;0.223;GEG_IW_L;GEG_IW_H;GEG_AW;GEG_BO;GEG_DA;0.36;3307;0;0.05
TRNPY_TEMPLATE_75;GEG;MUC_2050.epw;8.6;21.0;0.212;GEG_IW_L;GEG_IW_H;GEG_AW;GEG_BO;GEG_DA;0.36;3307;0;0.05
TRNPY_TEMPLATE_76;GEG;MUC_2050.epw;4.0;23.5;0.168;GEG_IW_L;GEG_IW_H;GEG_AW;GEG_BO;GEG_DA;0.36;3307;0;0.05
TRNPY_TEMPLATE_77;GEG;MUC_2050.epw;0.5;23.5;0.209;GEG_IW_L;GEG_IW_H;GEG_AW;GEG_BO;GEG_DA;0.36;3307;0;0.05
TRNPY_TEMPLATE_78;GEG;MUC_2050.epw;2.2;22.0;0.215;GEG_IW_L;GEG_IW_H;GEG_AW;GEG_BO;GEG_DA;0.36;3307;0;0.05
TRNPY_TEMPLATE_79;GEG;MUC_2050.epw;1.6;20.5;0.166;GEG_IW_L;GEG_IW_H;GEG_AW;GEG_BO;GEG_DA;0.36;3307;0;0.05
